billing_account_id,billing_account_name,cloud_id,cloud_name,folder_id,folder_name,resource_id,service_id,service_name,sku_id,sku_name,date,currency,pricing_quantity,pricing_unit,cost,credit,monetary_grant_credit,volume_incentive_credit,cud_credit,misc_credit,label.user_labels.base_model,label.user_labels.billing-event,label.user_labels.method,label.user_labels.model,label.user_labels.request_kind,label.user_labels.request_origin,locale,updated_at,exported_at
dn2cveihp3a205fqs91b,account-832,b1g0m7o2b1dhikf6fke5,cloud-krivonosoffya,b1git4svubpojuiga5pn,default,,dn2o984h40l32p7t5nsv,Yandex AI Studio,dn2bimnfbdouf6xmpgrh,"Генерация текста, модель Gemma3 27B, входящие токены, синхронный режим",2026-03-14,RUB,56.318,1k*token,22.5272,0,0,0,0,0,,llm,openai.completion,gpt://gemma-3-27b-it/latest,sync,,ru,1773513422,2026-03-23T13:46:58.654739+00:00
dn2cveihp3a205fqs91b,account-832,b1g0m7o2b1dhikf6fke5,cloud-krivonosoffya,b1git4svubpojuiga5pn,default,,dn2o984h40l32p7t5nsv,Yandex AI Studio,dn2ecxz6xds62s2invvw,"Генерация текста, модель Gemma3 27B, исходящие токены, синхронный режим",2026-03-14,RUB,11.402,1k*token,4.5608,0,0,0,0,0,,llm,openai.completion,gpt://gemma-3-27b-it/latest,sync,,ru,1773513422,2026-03-23T13:46:58.654739+00:00
dn2cveihp3a205fqs91b,account-832,b1g0m7o2b1dhikf6fke5,cloud-krivonosoffya,b1git4svubpojuiga5pn,default,,dn2o984h40l32p7t5nsv,Yandex AI Studio,dn227y4gookblrlbfeb2,"Генерация текста, модель Qwen3 235B, входящие токены, синхронный режим",2026-03-15,RUB,32.6,1k*token,16.3,0,0,0,0,0,,llm,openai.completion,gpt://qwen3-235b-a22b-fp8/latest,sync,,ru,1773566183,2026-03-23T13:46:58.654739+00:00
dn2cveihp3a205fqs91b,account-832,b1g0m7o2b1dhikf6fke5,cloud-krivonosoffya,b1git4svubpojuiga5pn,default,,dn2o984h40l32p7t5nsv,Yandex AI Studio,dn2bimnfbdouf6xmpgrh,"Генерация текста, модель Gemma3 27B, входящие токены, синхронный режим",2026-03-15,RUB,56.512,1k*token,22.6048,0,0,0,0,0,,llm,openai.completion,gpt://gemma-3-27b-it/latest,sync,,ru,1773554996,2026-03-23T13:46:58.654739+00:00
dn2cveihp3a205fqs91b,account-832,b1g0m7o2b1dhikf6fke5,cloud-krivonosoffya,b1git4svubpojuiga5pn,default,,dn2o984h40l32p7t5nsv,Yandex AI Studio,dn2ecxz6xds62s2invvw,"Генерация текста, модель Gemma3 27B, исходящие токены, синхронный режим",2026-03-15,RUB,7.588,1k*token,3.0352,0,0,0,0,0,,llm,openai.completion,gpt://gemma-3-27b-it/latest,sync,,ru,1773554996,2026-03-23T13:46:58.654739+00:00
dn2cveihp3a205fqs91b,account-832,b1g0m7o2b1dhikf6fke5,cloud-krivonosoffya,b1git4svubpojuiga5pn,default,,dn2o984h40l32p7t5nsv,Yandex AI Studio,dn2emftmylhwq2bmn6d5,"Генерация текста, модель gpt-oss-120b, исходящие токены, синхронный режим",2026-03-15,RUB,9.556,1k*token,2.8668,0,0,0,0,0,,llm,openai.completion,gpt://gpt-oss-120b/latest,sync,,ru,1773556331,2026-03-23T13:46:58.654739+00:00
dn2cveihp3a205fqs91b,account-832,b1g0m7o2b1dhikf6fke5,cloud-krivonosoffya,b1git4svubpojuiga5pn,default,,dn2o984h40l32p7t5nsv,Yandex AI Studio,dn2lm4wipbhyzhoq55iv,"Генерация текста, модель Qwen3 235B, кешированные токены, синхронный режим",2026-03-15,RUB,8.208,1k*token,4.104,0,0,0,0,0,,llm,openai.completion,gpt://qwen3-235b-a22b-fp8/latest,sync,,ru,1773561553,2026-03-23T13:46:58.654739+00:00
dn2cveihp3a205fqs91b,account-832,b1g0m7o2b1dhikf6fke5,cloud-krivonosoffya,b1git4svubpojuiga5pn,default,,dn2o984h40l32p7t5nsv,Yandex AI Studio,dn2ud3oc4m6ghrowwmco,"Генерация текста, модель gpt-oss-120b, входящие токены, синхронный режим",2026-03-15,RUB,23.664,1k*token,7.0992,0,0,0,0,0,,llm,openai.completion,gpt://gpt-oss-120b/latest,sync,,ru,1773556331,2026-03-23T13:46:58.654739+00:00
dn2cveihp3a205fqs91b,account-832,b1g0m7o2b1dhikf6fke5,cloud-krivonosoffya,b1git4svubpojuiga5pn,default,,dn2o984h40l32p7t5nsv,Yandex AI Studio,dn2xbekpu4ab7tpsuyow,"Генерация текста, модель Qwen3 235B, исходящие токены, синхронный режим",2026-03-15,RUB,5.474,1k*token,2.737,0,0,0,0,0,,llm,openai.completion,gpt://qwen3-235b-a22b-fp8/latest,sync,,ru,1773566183,2026-03-23T13:46:58.654739+00:00
dn2cveihp3a205fqs91b,account-832,b1g0m7o2b1dhikf6fke5,cloud-krivonosoffya,b1git4svubpojuiga5pn,default,,dn2o984h40l32p7t5nsv,Yandex AI Studio,dn227y4gookblrlbfeb2,"Генерация текста, модель Qwen3 235B, входящие токены, синхронный режим",2026-03-16,RUB,45.65,1k*token,22.825,0,0,0,0,0,,llm,openai.completion,gpt://qwen3-235b-a22b-fp8/latest,sync,,ru,1773682813,2026-03-23T13:46:58.654739+00:00
